,0
15,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
16,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
17,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
18,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
19,"First of all we will talk about battery it has 1800 mah battery ,but u know what it works like 4000 mah truly amazing phone with optical image stabilisation in video with editing option 64 gb variant is too good go for it"
20,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
21,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
22,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
23,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
24,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
25,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
26,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
27,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
28,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
29,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
30,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
31,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
32,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
33,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
34,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
35,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
36,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
37,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
38,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
39,"First of all we will talk about battery it has 1800 mah battery ,but u know what it works like 4000 mah truly amazing phone with optical image stabilisation in video with editing option 64 gb variant is too good go for it"
40,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
41,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
42,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
43,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
44,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
45,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
46,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
47,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
48,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
49,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
50,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
51,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
52,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
53,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
54,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
55,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
56,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
57,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
58,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
59,"First of all we will talk about battery it has 1800 mah battery ,but u know what it works like 4000 mah truly amazing phone with optical image stabilisation in video with editing option 64 gb variant is too good go for it"
60,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
61,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
62,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
63,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
64,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
65,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
66,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
67,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
68,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
69,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
70,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
71,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
72,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
73,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
74,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
75,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
76,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
77,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
78,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
79,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
80,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
81,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
82,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
83,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
84,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
85,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
86,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
87,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
88,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
89,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
90,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
91,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
92,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
93,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
94,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
95,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
96,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
97,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
98,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
99,"First of all we will talk about battery it has 1800 mah battery ,but u know what it works like 4000 mah truly amazing phone with optical image stabilisation in video with editing option 64 gb variant is too good go for it"
100,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
101,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
102,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
103,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
104,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
105,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
106,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
107,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
108,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
109,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
110,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
111,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
112,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
113,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
114,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
115,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
116,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
117,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
118,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
119,"As being a frequent apple user, I couldn't find much of a difference when comparing to IPhone 6.The size and display are the same of IPhone 6 and ofcourse there is 0 negative comments for the A13 chip. It is super fast✌️.Overall it's the same iPhone 6 with an A13 chip and the generation updates a smartphone can get in 2020.No negative comments for the camera, apple is always the topper in capturing moments and SE2 has got the studio lights, a front facing portrait camera, a wider photo fr..."
120,"Who all loves older size i.e., 4.7 inch type should definitely go for this.  Nothing is better than XR, XS or 11. Best for price and usage."
121,As always compact and handy ... with good image stability 4K gives amazing experience Battery capacity is little poor .. it’s worth buying on this budget..4/5 my rating
122,Mobile is very handy. Packed with good performances and nice camera. This is my first iPhone. Very good experience with Apple. Battery is worst. I am hardly getting 5 hours screen on time.  Positive thing is I came to know how many hours I was spending on my mobile. Because of poor battery now I am only using mobile for 4 hours a day.
123,"Let's face it. The main reason you're even considering this is because you want a compact phone that doesn't compromise on power. Getting OS updates for another 4-5 years, with a decent camera, waterproofing and wireless charging is just an added advantage. There's a few things it could've done better: 1. Battery is barely adequate for a day of moderate usage.2. The bezels could have been reduced to have more screen to body ratio.3. Night mode for the camera was a software feature that ..."
124,"One word.. beautiful iphone ❤️ premium feelJust go for it without any doubt. Superb camera, handy, white color is soo good. This phone is for someone who don't like big screen phones."
125,Everything is fine of this mobile except battery. Battery consumption at 8-10% Brightness inVideo call : almost 4% reduction for every 5-6 mins. Phone call : almost 1% reduction for every 4-5 mins. Which seems to be bit faster consumption. First iPhone I’m using. I’m not sure about regular battery consumption rate. But this doesn’t look nice to me.
126,"Keep the battery aside and I don’t see any other reason why you shouldn’t buy it. It’s super fast, has an awesome pair of camera, punchy speaker, good looks, beautiful screen, perfect size and an amazing user experience. Everything about this phone is no nonsense.Coming to battery, I was aware it was less but I didn’t care because for my casual usage, it easily lasts 24hours. It easily gives an onscreen time of 4 hours per day and if you are using your phone for more than that, you know you..."
127,"The powerful small phone that I always wished for !!Nowadays the fad is big screen phones but for me, I like a small powerful phone with awesome camera. Ticked all the boxes that I had in my mind. Switched from android. Never going back!"
128,"Like It, Apple SE very nice and handy mobile, we can use it by single hand, like it too much if you are going single handy mobile you can go with Apple SE 2020 without any hesitation."
